type,status,subjects,number,title,date_enacted,term_id,raw_author_text,pdf_url,filename,id,session_id,absent_ids,clean_author_ids
executive_order,active,,2026-003,"Reorganizing the Municipal Inspection Team for all deliveries of supplies and materials, equipment, medicines, vehicles, and other acquisitions of the Municipal Government of Los Baños",2026-01-15,sb_12,Mayor Niel Andrew N. Nocon,https://losbanos.gov.ph/public/storage/executive_orders/Executive Order No. 03_1768463451.pdf,Executive Order No. 03_1768463451.pdf,executive_order_sb_12_2026-003,,,
executive_order,active,,2026-002,Organizing the Coordination Committee for Cultural Commemoration Events of the Municipal Government of Los Baños,2026-01-13,sb_12,Mayor Niel Andrew N. Nocon,https://losbanos.gov.ph/public/storage/executive_orders/Executive Order No. 02_1768264210.pdf,Executive Order No. 02_1768264210.pdf,executive_order_sb_12_2026-002,,,
executive_order,active,,2026-001,Establishing the Anilag Festival Coordinating Committee of the Municipal Government of Los Baños,2026-01-12,sb_12,Mayor Niel Andrew N. Nocon,https://losbanos.gov.ph/public/storage/executive_orders/Executive Order No. 01_1768200883.pdf,Executive Order No. 01_1768200883.pdf,executive_order_sb_12_2026-001,,,
executive_order,active,,2025-051,"Reorganizing and reactivating the Municipal Inventory Team, Appraisal and Disposal of LGU property/ies committee and secretariat",2025-12-15,sb_12,Mayor Niel Andrew N. Nocon,https://losbanos.gov.ph/public/storage/executive_orders/Executive Order No. 51_1765787814.pdf,Executive Order No. 51_1765787814.pdf,executive_order_sb_12_2025-051,,,
executive_order,active,,2025-050,Establishing the Weekend Night Market at the Batong Malake Public Market and providing guidelines for its operation,2025-12-12,sb_12,Mayor Niel Andrew N. Nocon,https://losbanos.gov.ph/public/storage/executive_orders/Executive Order No. 50_1765528579.pdf,Executive Order No. 50_1765528579.pdf,executive_order_sb_12_2025-050,,,
executive_order,active,,2025-048,"Reorganizing the Local Inter-Agency Committee (LIAC) for Presidential Proclamation no. 550 in Barangays Lalakay, Bambang and Timugan",2025-11-20,sb_12,Mayor Niel Andrew N. Nocon,https://losbanos.gov.ph/public/storage/executive_orders/Executive Order No. 48_1763627692.pdf,Executive Order No. 48_1763627692.pdf,executive_order_sb_12_2025-048,,,
executive_order,active,,2025-047,Reorganizing the Municipal Program on Awards and Incentives for Service Excellence (PRAISE) Committee of the Municipal Government of Los Baños,2025-11-13,sb_12,Mayor Niel Andrew N. Nocon,https://losbanos.gov.ph/public/storage/executive_orders/Executive Order No. 47_1763023951.pdf,Executive Order No. 47_1763023951.pdf,executive_order_sb_12_2025-047,,,
executive_order,active,,2025-045,Establishing the Local Infrastructure Audit Team (LIAT) Purposely in the Conduct of Infrastructure Audit of LGU-Owned and Lifeline Vertical Structures,2025-11-11,sb_12,Mayor Niel Andrew N. Nocon,https://losbanos.gov.ph/public/storage/executive_orders/Executive Order No. 45_1762828712.pdf,Executive Order No. 45_1762828712.pdf,executive_order_sb_12_2025-045,,,
executive_order,active,,2025-046,"Redesignating Ms. Lillian T. Agoncillo, Municipal Government Department Head (Records Officer) as the Data Protection Officer for the Municipal Government of Los Baños",2025-11-11,sb_12,Mayor Niel Andrew N. Nocon,https://losbanos.gov.ph/public/storage/executive_orders/Executive Order No. 46_1762822773.pdf,Executive Order No. 46_1762822773.pdf,executive_order_sb_12_2025-046,,,
executive_order,active,,2025-043,"An Order Creating the Administrative Discipline Committee (ADC) and its Secretariat, and defining the respective powers, functions and duties thereof",2025-10-29,sb_12,Mayor Niel Andrew N. Nocon,https://losbanos.gov.ph/public/storage/executive_orders/Executive Order No. 43_1761698773.pdf,Executive Order No. 43_1761698773.pdf,executive_order_sb_12_2025-043,,,
executive_order,active,,2025-044,An Order adopting the 2025 Rules on Administrative Cases in the Civil Service (RACCS) for Implementation in the Municipal Government of Los Baños (MGLB),2025-10-28,sb_12,Mayor Niel Andrew N. Nocon,https://losbanos.gov.ph/public/storage/executive_orders/Executive Order No. 44_1761636635.pdf,Executive Order No. 44_1761636635.pdf,executive_order_sb_12_2025-044,,,
executive_order,active,,2025-042,Reorganizing the Municipal Urban Development and Housing Board of the Municipal Government of Los Baños,2025-10-24,sb_12,Mayor Niel Andrew N. Nocon,https://losbanos.gov.ph/public/storage/executive_orders/Executive Order No. 42_1761266689.pdf,Executive Order No. 42_1761266689.pdf,executive_order_sb_12_2025-042,,,
executive_order,active,,2025-041,Reorganizing the Municipal Information and Communications Technology Council (MICTC) of the Municipality of Los Baños,2025-10-21,sb_12,Mayor Niel Andrew N. Nocon,https://losbanos.gov.ph/public/storage/executive_orders/Executive Order No. 41_1761004861.pdf,Executive Order No. 41_1761004861.pdf,executive_order_sb_12_2025-041,,,
